交易日期,股票代码,股票名称,新浪概念,收盘价,涨跌幅,成交量,MACD_金叉死叉,收盘价_3天均值,收盘价_至今均值
2016-12-14,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.29,-0.033391,41281457,,,22.29
2016-12-13,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.06,-0.008598,48450098,,,22.674999999999997
2016-12-12,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.26,-0.062475,78901945,,22.87,22.87
2016-12-09,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.81,0.002829,48168045,,23.709999999999997,23.355
2016-12-08,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.74,-0.015911,38055084,,24.27,23.631999999999998
2016-12-07,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.14,-0.009456,49462389,,24.896666666666665,23.883333333333336
2016-12-06,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.38,-0.004706,35645541,,25.086666666666662,24.09714285714286
2016-12-05,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.5,-0.035917,68906336,,25.34,24.2725
2016-12-02,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.45,-0.019281,51572972,,25.776666666666667,24.514444444444443
2016-12-01,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.97,-0.000371,95017059,,26.30666666666667,24.759999999999998
2016-11-30,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.98,0.031346,119318381,,26.8,24.96181818181818
2016-11-29,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.16,-0.00834,78060059,死叉,26.703333333333333,25.061666666666667
2016-11-28,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.38,-0.030147,125593915,,26.506666666666664,25.163076923076922
2016-11-25,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.2,0.010026,64594659,,26.58,25.30857142857143
2016-11-24,sz000002,万科Ａ,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.93,-0.010654,41224639,,26.836666666666662,25.416666666666668
